username,player_id,joined,is_active
007blond,85068486,1673653634,1
0812leonliu,163496945,1656758775,1
180dave,61963236,1672388019,1
1960iron,17715836,1423432951,1
1v8n,26633668,1463431009,1
2heads,16057924,1513200078,1
86_beans,190070319,1671779605,1
aaronchristopher96,49139072,1601070054,1
aaronleckinger,3155672,1602866005,1
abomb511,239454043,1682341977,1
acerb95,68263874,1655077445,1
adamlevy1982,74919662,1670543932,1
adg2525,203609585,1672043296,1
aeh690,4609581,1368162767,1
aknightslayer,4270721,1384857198,1
al2fresco,11026586,1366734456,1
albenn,7819606,1689025991,1
aldemir68,101029974,1652279863,1
aldooooo,7863896,1654809225,1
alfil_dadaista,29295688,1652554464,1
alialahmad13,205234893,1680443849,1
allenon,19701942,1653837300,1
amsterdam641,120326780,1673684389,1
anatoliy10912,39733750,1690303963,1
andrew6706,18743650,1420032783,1
andyd19,137111,1536672922,1
andythetee,31405328,1516112522,1
angelped03,134505882,1662299580,1
anthony008,30995004,1537551875,1
april280,64669256,1605964449,1
ar7an,21482106,1654697696,1
arealeus,4560062,1516053281,1
areeddoc,77019938,1689029188,1
arixegal,31478358,1627838571,1
arman_1986,12149864,1609577590,1
arnesmekens,26570826,1657458514,1
atis_d,4528377,1666719937,1
atj1968,7296,1427957151,1
atkanarkan,49678052,1660336310,1
azizbai,34186570,1650511204,1
bail_the_bard,90955702,1670490016,1
baldy2k49,5508373,1550238207,1
ballbob1,5959998,1382297552,1
bbaxley,15438274,1657486316,1
bcooollll,1520929,1573685725,1
beanbennett,32331670,1540276853,1
beatthenoobs,97681210,1658170293,1
beejay908,280654623,1686127383,1
benrogers71,107920498,1678739974,1
bernardhgaskin,15856688,1427018867,1
bettik29,160874339,1673523583,1
biagio160,66419092,1574398220,1
bigboey78,182482503,1653227845,1
biggene,2807586,1660764291,1
bill0007,6279581,1398447895,1
bishopbandit,6049397,1383045820,1
bjg1000,151896757,1689233191,1
blackcountryman,26929738,1472296883,1
blackers19,12686098,1671041675,1
blacklotusaw,130022554,1664919818,1
blaze-87,17081728,1432313377,1
blewberg1066,416741,1492141529,1
bluebellann,99670306,1657834485,1
bluebird52,6367517,1409252256,1
bmk12,3244909,1522276342,1
boatiemax,5547434,1395216739,1
bolden_kekana,197593715,1670658335,1
bolinii,14253984,1672602805,1
bombertank,5915557,1604664188,1
bonfireofthevanities,153176475,1656916483,1
boris_altman,10570680,1645300729,1
bostick,2035694,1490979178,1
bostongurka,2729041,1484046504,1
boyleboy3,90214750,1661985813,1
br1bri,126261790,1673479203,1
br4v3hrt,13039294,1602142480,1
braindeadcz,56360928,1554377976,1
bravenam,21786802,1689147474,1
bredko,117432198,1667045415,1
bregz,27369042,1664950535,1
briansanjines17,23067922,1665988517,1
brock957,31649758,1664465140,1
brownbones,80866600,1674112226,1
buni1231,86239860,1666955297,1
burlachuk,39940736,1673428582,1
calico253,4873307,1367821047,1
camilla_lee_honeytrap,203816257,1680479230,1
caniwi,4989033,1398196242,1
capareloaded,67735570,1667057200,1
capeace,2595389,1630721043,1
cardiff,1698243,1374952397,1
cargiac28,59175174,1671831156,1
cariocabotafogo,31067740,1657710299,1
carlosfandango,2343656,1517699143,1
carmpagano,2379743,1605557840,1
caromariva,81124674,1627193308,1
cbrough,6545312,1459861245,1
ccccretan,119785166,1653638876,1
ceefa,1342986,1673300722,1
ceejaysstar,6620069,1382101904,1
cerebralator,23725264,1459702943,1
chakqs,30679912,1652550946,1
charlottehk,15670760,1400148470,1
checquem8,8915778,1433897869,1
cheech-420,22445032,1490517085,1
cherhan,13796660,1620309888,1
chess_pariah,272385553,1681647359,1
chessboarddarren,44686080,1609602228,1
chesschad200,28177560,1657670496,1
chessman1963,3156313,1522910255,1
chessmarine310,35189562,1663109067,1
chessron99,96799100,1658699466,1
chesstiger7,11765428,1653166023,1
chesstitan249,13205238,1689852221,1
chestermike,18743392,1515256382,1
chimken2020,120844296,1670487348,1
chrischess1,1851189,1451728884,1
chrismcsheehy,92057760,1664635839,1
chuck2691,50718194,1628024629,1
cklose2000,3702867,1653748322,1
clawhammer72,2892533,1387434448,1
cleopatrachess2016,29667574,1690473662,1
cocito18,38893102,1586416354,1
coconut00,20332574,1595346474,1
colben,7745216,1467822048,1
coldmetal,10975864,1664986027,1
collapsum,7249341,1559801988,1
commonloser,64259676,1572363762,1
computergamer,11479692,1386005594,1
connor567,9687116,1507561784,1
cool-colin,4041357,1373462177,1
coolcheck108,164540659,1681657054,1
coolwatch60,146720175,1680133513,1
cornerpinplayer,8894526,1372696638,1
craigesk,28931774,1538046233,1
crazymeercat,141403469,1661413542,1
creatingchaos,37460402,1516112539,1
crystaldragoneye,3729240,1565169205,1
cuths16,62419876,1565204177,1
cypherblack,115306244,1672387997,1
d76williams,24281128,1457795005,1
dan-ostler,2838305,1519569585,1
dancazacumd,86798234,1667087535,1
darius321,46497844,1690717051,1
darrencarden,74587032,1673794835,1
darrinm,23248498,1439487164,1
darthdiabetes42,125700390,1664575850,1
dave_1976,16235872,1433316069,1
daverose0106,2176725,1374626420,1
davesigi,90724588,1680444944,1
david05,2118482,1376667853,1
david24420,22764730,1667034714,1
davidhhowell,43575052,1532624319,1
davidpeardon,14095690,1385976739,1
davidwatling,30939494,1542233680,1
davidwrunner2,50798752,1559168256,1
dazsaunders,98137606,1618004118,1
dbalanza2,473821,1667608526,1
dd000000,154924191,1674286414,1
de_gudvin,193589595,1672214290,1
deanred16,30490542,1530277102,1
deemts,31171130,1662100346,1
